Injection Rate,Packet Latency
0.001,31.0718
0.002,31.2719
0.003,31.0171
0.004,31.5868
0.005,31.2641
0.006,31.0093
0.0065,31.2868
0.0068,30.8298
0.007,30.894
0.0072,30.6776
